num_people|bikini/apparel|is_male|faces_visible|sale|edited|butt_pic|ocean|skate|drift_content|product_shot|lifestyle|in_shop|pro\model|in_nature|surf|url
1|b|0|1|0|0|0|0|0|0|1|1|0|1|0|0|https://www.instagram.com/p/Ba4SAnwlNr2/?taken-by=thedriftcollective
1|a|0|0|0|0|0|0|0|1|1|0|0|0|0|0|https://www.instagram.com/p/Bay5m44F63d/?taken-by=thedriftcollective
0|a|2|0|0|0|0|0|0|1|1|0|1|0|0|0|https://www.instagram.com/p/BawjK-wluWT/?taken-by=thedriftcollective
1|a|0|0|0|0|0|0|0|0|1|1|0|0|0|0|https://www.instagram.com/p/Barb3bYlz00/?taken-by=thedriftcollective
1|b|0|0|0|1|1|0|0|0|1|0|0|1|0|0|https://www.instagram.com/p/BaeiTL3FWG5/?taken-by=thedriftcollective
2|a|2|1|0|0|0|0|0|0|1|1|0|0|0|0|https://www.instagram.com/p/BaZS0wll3DO/?taken-by=thedriftcollective
1|a|0|1|0|0|0|0|0|1|1|1|0|0|0|0|https://www.instagram.com/p/BaSNBsil2Sy/?taken-by=thedriftcollective
0|a|2|0|0|0|0|0|0|1|1|0|1|0|0|0|https://www.instagram.com/p/BaHZ1_blBQm/?taken-by=thedriftcollective
1|c|0|1|0|0|0|0|0|0|1|0|1|1|0|0|https://www.instagram.com/p/BaE3jOTFHux/?taken-by=thedriftcollective
1|a|0|0|0|0|0|0|0|0|1|1|0|0|0|0|https://www.instagram.com/p/BZ9CCj6FgGx/?taken-by=thedriftcollective
1|a|0|1|0|0|0|0|1|0|0|1|0|0|0|0|https://www.instagram.com/p/BZ34ZdYlMKe/?taken-by=thedriftcollective
1|b|0|1|0|0|0|1|0|0|0|1|0|0|1|0|https://www.instagram.com/p/BZyof0rFuzY/?taken-by=thedriftcollective
2|a|2|1|0|0|0|0|1|0|0|1|0|0|0|0|https://www.instagram.com/p/BZtizOSlYp3/?taken-by=thedriftcollective
1|a|0|0|0|0|0|0|0|1|0|1|1|0|0|0|https://www.instagram.com/p/BZrCnrqFhtH/?taken-by=thedriftcollective
1|b|0|0|0|0|0|0|0|0|0|1|0|1|1|0|https://www.instagram.com/p/BZpKFJNl7x8/?taken-by=thedriftcollective
1|a|1|1|0|0|0|0|1|0|1|0|0|0|0|0|https://www.instagram.com/p/BZl64zcFPJK/?taken-by=thedriftcollective
1|b|0|0|0|0|0|0|0|0|1|1|0|1|0|0|https://www.instagram.com/p/BZjTufLFxCh/?taken-by=thedriftcollective
0|a|2|0|0|0|0|0|0|1|1|0|0|0|0|0|https://www.instagram.com/p/BZgyWRglJSI/?taken-by=thedriftcollective
1|c|0|0|0|0|0|0|0|0|1|1|0|0|1|0|https://www.instagram.com/p/BZblCUzFKhc/?taken-by=thedriftcollective
0|a|0|0|0|0|0|0|0|1|1|0|1|0|0|0|https://www.instagram.com/p/BZZDMWAlrRT/?taken-by=thedriftcollective
0|d|2|0|1|1|0|0|0|1|0|0|0|0|0|0|https://www.instagram.com/p/BZRXxvTFbwg/?taken-by=thedriftcollective
1|b|0|0|0|0|0|0|0|0|1|1|0|1|0|0|https://www.instagram.com/p/BZL3EN-F_zR/?taken-by=thedriftcollective
5|a|2|1|0|0|0|0|1|0|1|1|0|0|0|0|https://www.instagram.com/p/BZJeVqQF0AC/?taken-by=thedriftcollective
1|a|0|0|0|0|0|1|0|0|1|1|0|0|1|0|https://www.instagram.com/p/BZEeBuLFkb_/?taken-by=thedriftcollective
1|d|1|0|0|0|0|0|0|1|0|1|0|0|0|1|https://www.instagram.com/p/BZB_MewFqPH/?taken-by=thedriftcollective
1|b|0|0|0|0|1|0|0|0|0|0|0|0|0|0|https://www.instagram.com/p/BY_0SbClWWT/?taken-by=thedriftcollective
1|a|0|0|0|0|0|0|0|1|1|1|1|0|0|0|https://www.instagram.com/p/BY8i7mhl2hK/?taken-by=thedriftcollective
1|b|0|0|0|0|0|0|0|0|0|0|0|1|0|0|https://www.instagram.com/p/BY3x-NGlSyR/?taken-by=thedriftcollective
1|a|0|0|0|0|0|0|0|1|0|0|1|0|0|0|https://www.instagram.com/p/BYzMhB7Fwo6/?taken-by=thedriftcollective
1|b|0|1|0|0|0|0|0|1|0|1|0|0|0|0|https://www.instagram.com/p/BYvyZ7QlkGz/?taken-by=thedriftcollective
2|d|2|1|0|0|0|0|0|0|0|0|0|0|0|0|https://www.instagram.com/p/BYqzMspljy0/?taken-by=thedriftcollective
1|a|0|0|0|0|0|0|1|0|1|1|0|0|0|0|https://www.instagram.com/p/BYi13mOF-ds/?taken-by=thedriftcollective
0|a|0|0|0|0|0|0|0|1|1|0|1|0|0|0|https://www.instagram.com/p/BYdytzdFFr_/?taken-by=thedriftcollective
1|c|0|0|0|0|1|0|0|0|1|1|0|1|1|0|https://www.instagram.com/p/BYbaPXzFhF9/?taken-by=thedriftcollective
1|c|0|1|0|0|0|0|0|0|1|0|1|1|0|0|https://www.instagram.com/p/BYT3QonFpGz/?taken-by=thedriftcollective
2|a|2|1|0|0|0|0|1|0|0|1|0|0|0|0|https://www.instagram.com/p/BYQyvGtlKJ2/?taken-by=thedriftcollective
1|a|0|0|0|0|0|0|0|1|0|0|1|0|0|0|https://www.instagram.com/p/BYL0gs4FbdO/?taken-by=thedriftcollective
0|d|0|0|1|1|0|0|0|1|0|0|0|0|0|0|https://www.instagram.com/p/BYJVm9ClSFF/?taken-by=thedriftcollective
1|b|0|0|0|0|1|1|0|0|0|1|0|0|1|0|https://www.instagram.com/p/BYD3mwmlFB1/?taken-by=thedriftcollective
1|a|1|1|0|0|0|0|0|1|1|0|1|0|0|0|https://www.instagram.com/p/BX-zk7dFqxW/?taken-by=thedriftcollective
1|a|0|1|0|0|0|0|0|0|1|0|0|0|0|0|https://www.instagram.com/p/BX8LtiTFX3w/?taken-by=thedriftcollective
1|d|1|0|0|0|0|0|0|1|0|1|0|0|0|1|https://www.instagram.com/p/BXx9hR2lc2N/?taken-by=thedriftcollective
1|b|0|0|0|0|0|1|0|0|1|0|0|0|1|0|https://www.instagram.com/p/BXsigjqllwD/?taken-by=thedriftcollective
0|a|2|0|0|0|0|0|0|1|0|0|0|0|0|0|https://www.instagram.com/p/BXrMQ-rlA0s/?taken-by=thedriftcollective
1|a|0|0|0|0|0|0|0|0|0|1|0|0|0|0|https://www.instagram.com/p/BXlWc9tFrAc/?taken-by=thedriftcollective
1|a|1|0|0|0|0|0|1|0|0|1|0|0|0|0|https://www.instagram.com/p/BXibp_NFe58/?taken-by=thedriftcollective
